ProdDate,MonInjSteam(m3),MonthlyOil(m3),MonInjGas(E3m3),CumInjGas(E3m3),PrdHours(hr),InjHours(hr),CumInjSteam(m3),CumInjGas(E3m3).1,CumPrdOil(m3),Percentage_Change_Monthly_Injected_Steam
2011-02-01,15984.5,14842.9,0.0,0.0,38604,2016,1399714.0,0.0,3193505.6,7.604580320344956
2011-03-01,17417.3,17209.1,0.0,0.0,44767,2016,1417131.3,0.0,3210714.7,8.963683568456936
2010-05-01,19543.0,10867.3,0.0,0.0,38137,1629,1227652.0,0.0,3084693.7,21.750344200302774
1986-01-01,45323.6,21070.0,0.0,0.0,42240,3984,1172635.0,0.0,917322.0,15.720322214137084
2015-02-01,131388.5,54770.3,0.0,515.0,39244,16800,5187927.1,515.0,5215265.6,7.180374772610865
2016-04-01,123664.9,57033.6,0.0,886.3,42003,17904,7120259.1,886.3,6012165.5,7.058354909380604
1983-07-01,23804.4,14458.9,0.0,0.0,21528,2712,244539.5,0.0,270519.9,9.979465497876582
1983-08-01,19642.6,17037.0,0.0,0.0,23472,2040,264182.1,0.0,287556.9,17.48332241098286
1983-09-01,18550.1,20067.0,0.0,0.0,23736,1752,282732.2,0.0,307623.9,5.5618909920275295
1984-01-01,23942.7,18204.5,0.0,0.0,25488,4080,344149.6,0.0,379916.2,3.799375610226485
1984-03-01,24993.4,22155.1,0.0,0.0,29304,3144,400324.8,0.0,418573.3,19.8461923301413
1984-04-01,29384.2,18045.7,0.0,0.0,26280,1824,429709.0,0.0,436619.0,17.567837909208016
1984-08-01,36915.6,22493.7,0.0,0.0,34440,3096,551701.2,0.0,523906.7,11.57177624896998
1984-09-01,39360.3,27832.2,0.0,0.0,33888,2976,591061.5,0.0,551738.9,6.622403536716193
1984-10-01,31806.6,27031.8,0.0,0.0,37656,2592,622868.1,0.0,578770.7,19.19116470148856
1984-11-01,35106.9,26750.3,0.0,0.0,36408,2640,657975.0,0.0,605521.0,10.376148346569591
1983-06-01,26443.3,12787.2,0.0,0.0,20736,2808,220735.1,0.0,256061.0,17.829516085910345
1984-12-01,32186.9,24104.8,0.0,0.0,37704,2376,690161.9,0.0,629625.8,8.317453264173135
1985-02-01,32857.9,21578.7,0.0,0.0,34248,2592,763490.0,0.0,674826.0,18.8096426506417
