Unnamed: 0,ProdDate,MonInjSteam(m3),MonthlyOil(m3),MonInjGas(E3m3),CumInjGas(E3m3),PrdHours(hr),InjHours(hr),CumInjSteam(m3),CumPrdOil(m3),CalDlyOil(m3/d),CalInjGas(E3m3/d),CalInjSteam(m3/d),SOR,percent_change_SOR,is_interpolated,CumPrdOilSinceSteamInj(m3),OilRate,SteamRate,SteamRateOverOilRate
1681,2006-11-01,143846.8,35999.5,317.9,39230.0,85239,19375,25871617.3,9311838.8,1199.98,10.6,4794.89,340597.9912276559,1.175862729183108,False,9023925.499999996,0.4223360198969955,7.424350967741935,17.57925116013708
1682,2006-12-01,154655.7,38927.2,305.1,39535.1,91364,19513,26026273.0,9350766.0,1255.72,9.84,4988.89,362984.3239380177,6.572655531429361,False,9062852.699999996,0.4260671599317017,7.9257776866704255,18.60217926192885
1683,2007-01-01,153835.0,38695.8,338.0,39873.1,92647,20003,26180108.0,9389461.8,1248.25,10.9,4962.42,368317.7824208312,1.4693357622033831,False,9101548.499999996,0.4176692175677572,7.6905964105384195,18.41312715196877
1684,2007-02-01,146634.5,36705.6,301.1,40174.2,83803,18664,26326742.5,9426167.4,1310.91,10.75,5236.95,334783.003233839,-9.104849341397292,False,9138254.099999996,0.4379986396668376,7.856542006000857,17.937366225559312
1685,2007-03-01,155250.6,40074.1,376.0,40550.2,91512,21248,26481993.1,9466241.5,1292.71,12.13,5008.08,354525.56407255563,5.897121612511147,False,9178328.199999996,0.4379108750764927,7.30659826807229,16.685126321185788
1686,2007-04-01,144551.2,36729.3,358.6,40908.8,81522,19700,26626544.3,9502970.8,1224.31,11.95,4818.37,320836.5780562113,-9.502554802916752,False,9215057.499999996,0.4505446382571576,7.337624365482234,16.28612071351326
1687,2007-05-01,112935.7,36689.4,380.9,41289.7,86019,18840,26739480.0,9539660.2,1183.53,12.29,3643.09,264779.9085921274,-17.472031962098367,False,9251746.899999997,0.4265266975900673,5.994463906581741,14.054135275590626
1688,2007-06-01,108801.4,34082.6,426.3,41716.0,81908,17566,26848281.4,9573742.8,1136.09,14.21,3626.71,261473.7452893852,-1.2486458358270225,False,9285829.499999996,0.4161083166479464,6.193863144711374,14.88521833595498
1689,2007-07-01,126965.0,34858.5,407.9,42123.9,85996,18008,26975246.4,9608601.3,1124.47,13.16,4095.65,313222.94820488547,19.79135720040537,False,9320687.999999996,0.4053502488487837,7.050477565526433,17.3935444360776
1690,2007-08-01,128457.9,33452.5,353.9,42477.8,85196,18264,27103704.3,9642053.8,1079.11,11.42,4143.8,327153.4040325835,4.447456965568764,False,9354140.499999996,0.3926534109582609,7.033393561103811,17.912472844534797
1691,2007-09-01,132148.4,33830.8,486.3,42964.1,82995,17177,27235852.7,9675884.6,1127.69,16.21,4404.95,324191.4603852111,-0.9053684329316748,False,9387971.299999995,0.4076245556961263,7.693334109565116,18.87357864500268
1692,2007-10-01,118000.4,35215.3,413.5,43377.6,89631,17532,27353853.1,9711099.9,1135.98,13.34,3806.46,300338.0306968845,-7.357821720530023,False,9423186.599999998,0.3928919681806518,6.730572667122975,17.13084820310772
1693,2007-11-01,115780.8,34658.1,687.8,44065.4,87155,17280,27469633.9,9745758.0,1155.27,22.93,3859.36,291154.899547292,-3.0575985093478364,False,9457844.699999996,0.3976604899317308,6.700277777777778,16.84924187194977
1694,2007-12-01,117319.7,33334.9,753.9,44819.3,89811,17064,27586953.6,9779092.9,1075.32,24.32,3784.51,316083.1313938245,8.56184521891703,False,9491179.599999998,0.3711672289585908,6.87527543366151,18.523390259835
