,ProdDate,MonInjSteam(m3),MonthlyOil(m3),MonInjGas(E3m3),CumInjGas(E3m3),PrdHours(hr),InjHours(hr),CumInjSteam(m3),CumPrdOil(m3),CalDlyOil(m3/d),CalInjGas(E3m3/d),CalInjSteam(m3/d),SOR,percent_change_SOR,is_interpolated,CumPrdOilSinceSteamInj(m3),OilRate,SteamRate,SteamRateOverOilRate
1459,1988-03-01,61849.4,24553.3,0.0,0.0,51048,7248,2267429.5,1521433.0,792.04,0.0,1995.14,128589.15792174576,11.347036594057158,False,1297193.9,0.4809845635480332,8.533305739514349,17.741329735340198
1460,1988-04-01,60939.5,22873.8,0.0,0.0,47184,7272,2328369.0,1544306.8,762.46,0.0,2031.32,125705.8017469769,-2.242301156154669,False,1320067.7000000002,0.4847787385554425,8.380019251925193,17.286276367846106
1462,1988-06-01,50161.95,21693.6,0.0,0.0,47136,7152,2428826.5,1585585.0,699.795,0.0,1618.13,143000.7654270368,-15.876562939623344,True,1363528.3000000005,0.460234215885947,7.013695469798657,15.239404693754356
1463,1988-07-01,59059.3,21620.2,0.0,0.0,48912,7104,2487885.8,1607205.2,697.43,0.0,1905.14,133611.55223355934,-6.565848207482572,False,1385148.5000000002,0.4420224075891397,8.313527590090091,18.807932465309595
1464,1988-08-01,62050.8,23154.3,0.0,0.0,48480,7680,2549936.6,1630359.5,746.91,0.0,2001.64,129920.69654448636,-2.762377674215777,False,1408302.8000000005,0.4776051980198019,8.07953125,16.916757362563327
1465,1988-09-01,68055.4,22141.1,0.0,0.0,44952,7992,2617992.0,1652500.6,738.04,0.0,2268.51,138169.5733635637,6.34916301903663,False,1430443.9000000004,0.4925498309307706,8.51544044044044,17.288485155601062
1466,1988-10-01,63243.5,22349.8,0.0,0.0,48624,7464,2681235.5,1674850.4,720.96,0.0,2040.11,137591.92225433784,-0.4180740340754219,False,1452793.7000000004,0.4596454425797959,8.473137727759914,18.43407318520068
1472,1989-04-01,62806.0,17531.2,0.0,0.0,48840,7704,2960663.6,1791350.2,584.37,0.0,2093.53,174970.62608378206,9.663791267542576,False,1569196.15,0.3589516789516789,8.15238836967809,22.71165966819601
1473,1989-05-01,73257.4,17016.6,0.0,0.0,46680,9648,3033921.0,1808366.8,548.92,0.0,2363.14,200959.9703818624,14.853547066600605,False,1586212.7500000002,0.3645372750642673,7.593014096185738,20.82918432647828
1474,1989-06-01,64860.9,16644.2,0.0,0.0,46824,8640,3098781.9,1825011.0,554.81,0.0,2162.03,182468.7748044364,-9.201432276432577,False,1602856.9500000002,0.3554630104220058,7.507048611111111,21.119071157920875
